date,city,country,avg_temp_c
13/03/01,Abidjan,Côte D'Ivoire,29.129
13/04/01,Abidjan,Côte D'Ivoire,28.626
13/05/01,Abidjan,Côte D'Ivoire,27.652
13/06/01,Abidjan,Côte D'Ivoire,26.157
13/07/01,Abidjan,Côte D'Ivoire,24.951
13/08/01,Abidjan,Côte D'Ivoire,24.541
13/09/01,Abidjan,Côte D'Ivoire,
00/01/01,Addis Abeba,Ethiopia,17.391
00/02/01,Addis Abeba,Ethiopia,19.183
00/03/01,Addis Abeba,Ethiopia,20.23
00/04/01,Addis Abeba,Ethiopia,20.398
00/05/01,Addis Abeba,Ethiopia,19.977
00/06/01,Addis Abeba,Ethiopia,18.254
00/07/01,Addis Abeba,Ethiopia,17.109
00/08/01,Addis Abeba,Ethiopia,16.944
00/09/01,Addis Abeba,Ethiopia,17.542
00/10/01,Addis Abeba,Ethiopia,17.113
00/11/01,Addis Abeba,Ethiopia,17.741
00/12/01,Addis Abeba,Ethiopia,17.013
01/01/01,Addis Abeba,Ethiopia,17.454
01/02/01,Addis Abeba,Ethiopia,18.864
01/03/01,Addis Abeba,Ethiopia,20.043
01/04/01,Addis Abeba,Ethiopia,20.233
01/05/01,Addis Abeba,Ethiopia,19.908
01/06/01,Addis Abeba,Ethiopia,17.978
01/07/01,Addis Abeba,Ethiopia,17.011
01/08/01,Addis Abeba,Ethiopia,17.152
01/09/01,Addis Abeba,Ethiopia,17.867
01/10/01,Addis Abeba,Ethiopia,18.047
01/11/01,Addis Abeba,Ethiopia,17.306
01/12/01,Addis Abeba,Ethiopia,17.694
02/01/01,Addis Abeba,Ethiopia,17.901
02/02/01,Addis Abeba,Ethiopia,19.471
02/03/01,Addis Abeba,Ethiopia,20.193
02/04/01,Addis Abeba,Ethiopia,20.097
02/05/01,Addis Abeba,Ethiopia,20.234
02/06/01,Addis Abeba,Ethiopia,18.084
02/07/01,Addis Abeba,Ethiopia,17.518
02/08/01,Addis Abeba,Ethiopia,17.171
02/09/01,Addis Abeba,Ethiopia,17.405
02/10/01,Addis Abeba,Ethiopia,17.324
02/11/01,Addis Abeba,Ethiopia,17.964
02/12/01,Addis Abeba,Ethiopia,18.275
03/01/01,Addis Abeba,Ethiopia,18.201
03/02/01,Addis Abeba,Ethiopia,19.21
03/03/01,Addis Abeba,Ethiopia,20.453
03/04/01,Addis Abeba,Ethiopia,20.27
03/05/01,Addis Abeba,Ethiopia,20.409
03/06/01,Addis Abeba,Ethiopia,18.428
03/07/01,Addis Abeba,Ethiopia,16.861
03/08/01,Addis Abeba,Ethiopia,17.15
03/09/01,Addis Abeba,Ethiopia,17.298
03/10/01,Addis Abeba,Ethiopia,17.137
03/11/01,Addis Abeba,Ethiopia,17.431
03/12/01,Addis Abeba,Ethiopia,17.003
04/01/01,Addis Abeba,Ethiopia,18.983
04/02/01,Addis Abeba,Ethiopia,18.986
04/03/01,Addis Abeba,Ethiopia,19.813
04/04/01,Addis Abeba,Ethiopia,19.634
04/05/01,Addis Abeba,Ethiopia,20.015
04/06/01,Addis Abeba,Ethiopia,18.148
04/07/01,Addis Abeba,Ethiopia,17.109
04/08/01,Addis Abeba,Ethiopia,17.317
04/09/01,Addis Abeba,Ethiopia,17.468
04/10/01,Addis Abeba,Ethiopia,16.956
04/11/01,Addis Abeba,Ethiopia,17.235
04/12/01,Addis Abeba,Ethiopia,17.849
05/01/01,Addis Abeba,Ethiopia,17.94
05/02/01,Addis Abeba,Ethiopia,19.785
05/03/01,Addis Abeba,Ethiopia,20.685
05/04/01,Addis Abeba,Ethiopia,20.464
05/05/01,Addis Abeba,Ethiopia,19.366
05/06/01,Addis Abeba,Ethiopia,17.923
05/07/01,Addis Abeba,Ethiopia,16.991
05/08/01,Addis Abeba,Ethiopia,17.563
